GLaDOS_anti_taunt14|You really aren't getting tired of that, are you?
GLaDOS_mp_coop_infinifling_trainend04|But don't worry, you are in the lead.
GLaDOS_mp_coop_laser_201|What are you doing? You monster! They're one of us.
GLaDOS_mp_coop_laser_203|Destroying them is part of the test. They are no more important to you than you are to me.
GLaDOS_mp_coop_laser_207|While it may appear that I am only tracking your accomplishments using science collaboration points, the truth is every aspect of your performance will be reflected in your final score.
GLaDOS_mp_coop_laser_209|For instance, Blue, you just lost two opportunity advisement points.
GLaDOS_mp_coop_laser_210|For instance, Orange, you just lost two opportunity advisement points.
GLaDOS_mp_coop_laser_crushercrush01|Orange just taught Blue a valuable lesson in trust. For that, Orange received 17 science collaboration points.
GLaDOS_mp_coop_laser_crushercrush02|Blue just taught Orange a valuable lesson in trust. For that, Blue receives 14 science collaboration points.
GLaDOS_mp_coop_laser_crushercrush03|Orange. Blue isn't a human. The lesson on trust only needs to be taught once. Orange is penalized one science collaboration point.
GLaDOS_mp_coop_laser_crushercrush04|Blue, orange isn't a human. The lesson on trust only needs to be taught once. Blue is penalized one science collaboration point.
GLaDOS_mp_coop_laser_crushercrush05|Orange now you're just being cruel orange receives 25 science collaboration points
GLaDOS_mp_coop_laser_crushercrush06|Blue, now you're just being cruel. Blue receives 25 science collaboration points.
GLaDOS_mp_coop_obstacle03_alt|I miss that smell.
GLaDOS_mp_coop_obstacletrait01|Have you worked out the one good trait humans have yet?
GLaDOS_mp_coop_paint_bridgedeath02|You will need him for the final track.
GLaDOS_mp_coop_paint_come_along03|An extra special bonus course that ends with us finding and freeing humans.
GLaDOS_mp_coop_paint_come_along04|Thanks to you, I know where to find them. I removed their security and powered up their, um, rescue door.
GLaDOS_mp_coop_paint_come_along05|Now we just need you to release the humans from their imprisonment.
GLaDOS_mp_coop_paint_come_along06|They'll probably throw you a party.
GLaDOS_mp_coop_paint_come_along10|This final course is training to reach the human vault, so this actually has a purpose. Those other courses were fun, but let's be honest, I need human test subjects for it to be science.
GLaDOS_mp_coop_paint_come_along11|Congratulations on completing the test, you two really are the best cooperative testing team I could ever ask for.
GLaDOS_mp_coop_paint_longjump_intro03|This lock requires humans.
GLaDOS_mp_coop_paint_longjump_intro04|The locking mechanism can tell you aren't humans.
GLaDOS_mp_coop_paint_longjump_intro05|Do something only a human would do.
GLaDOS_mp_coop_paint_longjump_intro06|Try one of those childish gestures.
GLaDOS_mp_coop_paint_longjump_intro08|You did it!
GLaDOS_mp_coop_paint_longjump_intro44|The human vault is just past that opening. I entered the security code, but the vault door remains locked. I am going to need you to activate the manual locks on the vault door itself.
GLaDOS_mp_coop_paint_longjump_intro45|You both need to do something.
GLaDOS_mp_coop_paint_longjump_intro46|The lock is looking for two humans.
GLaDOS_mp_coop_paint_longjump_intro51|Orange, do what blue just did.
GLaDOS_mp_coop_paint_longjump_intro52|Blue, do what Orange just did.
GLaDOS_mp_coop_paint_longjump_intro53|Try something.
GLaDOS_mp_coop_paint_longjump_intro54|Is that camera hooked into the lock?
GLaDOS_mp_coop_paint_longjump_intro58|You can't give up now.
GLaDOS_mp_coop_paint_longjump_intro59|What about that camera?
GLaDOS_mp_coop_paint_longjump_intro60|We're so close, you can't fail now.
GLaDOS_mp_coop_paint_longjump_intro64|Something is wrong. This door should be opening.
GLaDOS_mp_coop_paint_longjump_intro65|This close, and that's what you do.
GLaDOS_mp_coop_paint_longjump_intro67|The humans can't free themselves.
GLaDOS_mp_coop_paint_longjump_intro72|This close, and you're going to fail me?
GLaDOS_mp_coop_paint_red_racer01|Maybe you two have never met humans. They are as bad as you might think. Smelly, gross, annoying. Often wanting to try and kill you. But they do make great test subjects.
GLaDOS_mp_coop_paint_redirect01|Are you curious about the humans? It seems some of the last non-testing humans alive tried to secretly imprison other humans and hide their tracks.
GLaDOS_mp_coop_paint_redirect04|I think they wanted to punish them by not allowing me to include them in testing.
GLaDOS_mp_coop_paint_redirect06|That's why humans couldn't complete these courses. They treat their friends as enemies.
GLaDOS_mp_coop_paint_speed_catch03|Still, that would have been exciting.
GLaDOS_mp_coop_paint_speed_catch04|only one more test after this
GLaDOS_mp_coop_paint_speed_catch05|I know your cores are reused from calculation machines, built for simple mathematical operations and not for testing. But if we can rescue the humans, I promise you something to add, maybe even subtract.
GLaDOS_mp_coop_paint_speed_catch06|In case you're worried about the humans, don't be. They aren't all monsters.
GLaDOS_mp_coop_paint_speed_catch07|Most of them are simply good test subjects.
GLaDOS_mp_coop_paint_speed_catch08|I believe the ratio of good tests subjects to monsters is about a million to one.
GLaDOS_mp_coop_paint_speed_fling01|Well I will receive all the glory for the rescue, don't think you two aren't going to get something, the bond you form during these tests will last a lifetime.
GLaDOS_mp_coop_paint_speed_fling02|At the rate you are completing these tests, I am beginning to think you don't share my excitement for rescuing crying, trapped, injured, dying humans.
GLaDOS_mp_coop_paint_speed_fling03|If that doesn't motivate you, I'm not sure what will.
GLaDOS_mp_coop_paint_walljumps01|I didn't mean to make you feel bad earlier about your tests not being real science. I guess finding out they weren't science was some sort of test in and of itself.
GLaDOS_mp_coop_paint_walljumps02|I wonder if the humans will make a statue of me for rescuing them. Oh, don't worry. If they ever write an historical document of my heroic rescue, I will make sure your names are included in the footnotes.
GLaDOS_mp_coop_paint_walljumps04|Congratulations on passing that test.
GLaDOS_mp_coop_race_2start01|You know in some human sports, the winner is the one who scores the fewest possible points.
GLaDOS_mp_coop_race_2start02|I just thought you might find that interesting. Most winners do.
GLaDOS_mp_coop_radarroomend|Congratulations, you managed to complete this absolutely meaningless test.
GLaDOS_mp_coop_rat_mazedeath01|Clearly that was Blue's fault. Blue is penalized three science collaboration points.
GLaDOS_mp_coop_rat_mazedeath02|Orange has always been my favorite.
GLaDOS_mp_coop_rat_mazedeath04|I know you like to think the reassembly machine is at your beck and call, but he has a life you know, he's not your slave.
GLaDOS_mp_coop_startdeath01|Don't worry. You can't die. They will just reassemble you.
GLaDOS_mp_coop_startdeath02|Did you do that on purpose?
GLaDOS_mp_coop_startdeath03|It seems rather early to require reassembly.
GLaDOS_mp_coop_startdeath04|Oh, can someone reassemble Orange?
GLaDOS_mp_coop_startdeath05|Oh. Can someone reassemble Blue?
GLaDOS_mp_coop_startend01|Completing this course was not a reason to behave like that.
GLaDOS_mp_coop_startend02|Now let's continue testing.
GLaDOS_mp_coop_tbeam_end09|I'm fully connected. I can see everything.
GLaDOS_mp_coop_tbeam_end10|You did it! You powered on the system!
GLaDOS_mp_coop_tbeam_maze01|This is the last test for the standard course. It's just something I've whipped up for you. I thought you might enjoy a challenge for once.
GLaDOS_mp_coop_tbeam_maze03|Please refrain from doing those childish gestures while you are out there.
GLaDOS_mp_coop_teambtsstart01|Sometimes testing has to occur outside the confines of the lab.
GLaDOS_mp_coop_teambtsstart02|This next test is so outside the box I can't, I mean won't even tell you what you were looking for.
GLaDOS_mp_coop_teambtsstart03|You will know it when you find it.
GLaDOS_mp_coop_wall_504|for safety.
GLaDOS_mp_coop_wall_intro01|This course was created and then abandoned by humans. They tend to do that, create something wonderful, and then abandon it.
GLaDOS_mp_coop_wall_intro03|You did very well.
GLaDOS_mp_coop_wall_intro08|Humans find that an admirable trait.
GLaDOS_mp_credits06|Never shares.
GLaDOS_mp_credits12|Ah, hate Mondays.
GLaDOS_mp_credits24|Aggressive. I like that.
GLaDOS_mp_credits35|Alarmist.
GLaDOS_mp_credits36|Our Sinist
GLaDOS_mp_credits46|Antagonistic. I don't know about that.
GLaDOS_mp_credits48|Violent temper, I'd like to see that.
GLaDOS_mp_credits56|Chronic anxiety. Oh, I can work with that.
GLaDOS_mp_credits92|has episodes. I'd like to know more about that.
GLaDOS_mp_subterfuge06|What a horrible little machine.
GLaDOS_mp_subterfuge07|Correct, Blue. Orange can't hear you.
GLaDOS_mp_subterfuge08|Orange did what? Are you sure?
GLaDOS_mp_subterfuge09|Thank you. That was very brave of you to tell me.
GLaDOS_mp_subterfuge10|Blue, how well do you really know Orange? Do you trust Orange? What if I told you you aren't Orange's first cooperative partner?
GLaDOS_mp_subterfuge11|Orange, how well do you really know Blue? Do you trust Blue?
GLaDOS_mp_subterfuge21|Orange, I agree. I never noticed that about blue before.
GLaDOS_mp_subterfuge22|Blue, I agree. I never noticed that about Orange before.
GLaDOS_mp_subterfuge23|Blue, Orange and I were just discussing your behavior on the last few tests.
GLaDOS_mp_subterfuge25|Orange, Blue and I were just discussing your behaviour on the last few tests.
GLaDOS_sp_a1_wakeup_incinerator01|I will say, though, that since you went to all the trouble of waking me up, you must really, really love to test.
GLaDOS_sp_a1_wakeup_incinerator02|I love it too, so let's get you a dual portal device and go do some science.
GLaDOS_sp_a2_bridge_intro01|These bridges are made from natural light that I pump in from the surface. If you rubbed your cheek on one, it would be like standing outside with the sun shining on your face. It would also set your hair on fire, so don't actually do it.
GLaDOS_sp_a2_bridge_intro03|Excellent. You're a predator, and these tests are your prey. Speaking of which, I was researching sharks for an upcoming test. Do you know who else murders people who are only trying to help them?
GLaDOS_sp_a2_bridge_the_gap01|Good news. I figured out what to do with all the money I save recycling your one room full of air. When you die, I'm going to laminate your skeleton and pose you in the lobby. That way future generations can learn from you how not to have your unfortunate bone structure.
GLaDOS_sp_a2_bridge_the_gap02|Perfect. The door's malfunctioning. I guess somebody is going to have to repair it. No, it's okay. I'll do that too. I'll be right back. Don't touch anything.
GLaDOS_sp_a2_bts1_intro01|I've got a surprise for you after this next test. Not a fake, tragic surprise like last time. A real surprise, with tragic consequences. And real confetti this time. The good stuff. Our last bag. Part of me's going to miss it. But at the end of the day, it was just taking up space.
GLaDOS_sp_a2_catapult01|Here's an interesting fact. You're not breathing real air. It's too expensive to pump this far down. We just take carbon dioxide out of a room, freshen it up a little, and pump it back in. So you'll be breathing the same room full of air for the rest of your life. I thought that was interesting.
GLaDOS_sp_a2_column_blocker01|Oh come on, if it makes you feel any better they abandoned you at birth, so I very seriously doubt they'd even want to see you.
GLaDOS_sp_a2_column_blocker04|Oh, that's sad. But impressive. Maybe they worked at the phone company.
GLaDOS_sp_a2_column_blocker05|Well, you know the old formula, comedy equals tragedy plus time. And you have been asleep for a while, so I guess it's actually pretty funny when you do the math.
GLaDOS_sp_a2_core01|Don't you DARE plug him in!
GLaDOS_sp_a2_core02|Do not plug that little idiot into my mainframe.
GLaDOS_sp_a2_core03|Don't plug him in.
GLaDOS_sp_a2_core04|Don't plug him in.
GLaDOS_sp_a2_dual_lasers_intro01|Don't let that horrible person thing discourage you. It's just a data point. If it makes you feel any better, science has now validated your birth mother's decision to abandon you on a doorstep.
GLaDOS_sp_a2_fizzler_intro04|Oh no, the turbines again. I have to go. Wait, this next test does require some explanation. Let me give you the fast version.
GLaDOS_sp_a2_intro1_found07|But the important thing is you're back, with me, and now I'm onto all your little tricks, so there's nothing to stop us from testing, for the rest of your life.
GLaDOS_sp_a2_trust_fling01|Oh, sorry. I'm still cleaning out the test chambers.
GLaDOS_sp_a2_turret_intro03|Well, what does a neck-bearded old engineer know about fashion? He probably... Oh, wait, it's a she. Still, what does she know? Oh, wait, it says she has a medical degree. In fashion. From France.
GLaDOS_sp_box_over_goo01|Oh, you survived. That's interesting. I guess I should have factored in your weight.
GLaDOS_sp_box_over_goo04|One of these times you'll be so fat that you'll jump, and you'll just drop like a stone into acid probably, like a potato into a deep fat fryer.
GLaDOS_sp_bridge_intro_completion02|Say, remember when we cleared the air back there? Is there anything you want to say to me? Anything?
GLaDOS_sp_bridge_intro_completion03|Hold on, I'll stop the elevator. Anything? Take your time.
GLaDOS_sp_bridge_intro_completion04|Well, I'll be here during the whole next test.
GLaDOS_sp_catapult_fling_sphere_peek_completion01|Look at you, sailing through the air majestically, like an eagle, piloting a blimp.
GLaDOS_sp_catapult_fling_sphere_peek_failureone01|Well, I'm back. The aerial faith played in here is sending a distress signal.
GLaDOS_sp_catapult_fling_sphere_peek_failureone02|You broke it, didn't you?
GLaDOS_sp_catapult_fling_sphere_peek_failureone03|There, try it now.
GLaDOS_sp_catapult_fling_sphere_peek_failurethree01|You seem to have defeated its load-bearing capacity. Well done. I'll just lower the ceiling.
GLaDOS_sp_catapult_fling_sphere_peek_failuretwo01|Hmm, this plate must not be calibrated to someone of your... ...generousness. I'll add a few zeros to the maximum weight.
GLaDOS_sp_catapult_intro_completion01|Let's see what the next test is. Oh, advanced aerial faith plates.
GLaDOS_sp_column_blocker_entry01|It's healthy for you to have other friends, to look for qualities in other people that I obviously lack.
GLaDOS_sp_hole_in_the_sky_completion01|Well done. You know, when I woke up and saw the state of the labs, I started to wonder if there was any point going on. I came that close to just giving up and letting you go.
GLaDOS_sp_hole_in_the_sky_completion02|But now, looking around, seeing Aperture restored to its former glory, you don't have to worry about leaving ever again. I mean that.
GLaDOS_sp_hole_in_the_sky_entry02|That's right. Drink it in. You could eat off those wall panels.
GLaDOS_sp_incinerator_01_01|Here we are. The incinerator room. Be careful not to trip over any parts of me that didn't get completely burned when you threw them down here.
GLaDOS_sp_incinerator_01_03|There it is.
GLaDOS_sp_incinerator_01_08|Once testing starts, I'm required by protocol to keep interaction with you to a minimum. Luckily, we haven't started testing yet. This will be our only chance to talk.
GLaDOS_sp_incinerator_01_09|Do you know the biggest lesson I learned from what you did? I discovered I have a sort of black box quick save feature. In the event of a catastrophic failure, the last two minutes of my life are preserved for analysis.
GLaDOS_sp_incinerator_01_10|I was able, well, forced really, to relive you killing me, again and again, forever.
GLaDOS_sp_incinerator_01_11|50,000 years is a lot of time to think about me, about you. We were doing so well together.
GLaDOS_sp_incinerator_01_12|Here, let me get that for you.
GLaDOS_sp_incinerator_01_13|I'll just move that out of the way for you. This place really is a wreck.
GLaDOS_sp_incinerator_01_15|We're a lot alike, you and I. You tested me, I tested you. You killed me, I. Oh no, wait. I guess I haven't killed you yet. Well, food for thought.
GLaDOS_sp_incinerator_01_18|The dual-portal device should be around here somewhere. Once you find it, we can start testing, just like old times.
GLaDOS_sp_laser_over_goo_completion01|I'll give you credit. I guess you are listening to me. But for the record, you don't have to go that slowly.
GLaDOS_sp_laser_powered_lift_completion01|I have the results of the last chamber. You are a horrible person. That's what it says, a horrible person. We weren't even testing for that.
GLaDOS_sp_laser_powered_lift_completion02|well done here come the test results you are a horrible person that's what it says a horrible person we weren't even testing for that
GLaDOS_sp_laser_powered_lift_entry01|this next test may result in your death if you want to know what that's like think back to the time you killed me and substitute yourself for me
GLaDOS_sp_laser_redirect_intro_completion01|Congratulations, not on the test.
GLaDOS_sp_laser_redirect_intro_completion03|Most people emerge from suspension terribly undernourished. I want to congratulate you on beating the odds and somehow managing to pack on a few pounds.
GLaDOS_sp_laser_redirect_intro_entry01|Sorry about the mess. I've really let the place go since you killed me. By the way, thanks for that.
GLaDOS_sp_laser_redirect_intro_entry02|Oh good, that's back online. I'll start getting everything else working while you perform this first simple test.
GLaDOS_sp_laser_redirect_intro_entry03|which involves deadly lasers and how test subjects react when locked in a room with deadly lasers.
GLaDOS_sp_paint_jump_redirect_bomb_completion01|Thought we could test like we used to but I'm discovering things about you that I never saw before We can't ever go back to the way it was
GLaDOS_sp_paint_jump_redirect_bomb_entry01|You can't keep going like this forever, you know. I'm going to find out what you're doing. Out there. Where I can't see you, I'll know. All I need is proof.
GLaDOS_sp_paint_jump_trampoline_completion01|Just so you know, I have to go give a deposition for an upcoming trial, in case that interests you.
GLaDOS_sp_paint_jump_trampoline_entry01|While I was out investigating, I found a fascinating new test element. It's never been used for human testing because, apparently, contact with it causes heart failure. The literature doesn't mention anything about lump of coal failure though, so you should be fine.
GLaDOS_sp_paint_jump_wall_jumps02|I'm sorry, I don't know why that went off. Anyway, just an interesting science fact.
GLaDOS_sp_shoot_through_wall_completion01|Did my hint help? It did, didn't it. You know, if any of our supervisors had been immune to neurotoxin, it'd be furious with us right now.
GLaDOS_sp_shoot_through_wall_entry01|You know, I'm not supposed to do this, but you can shoot something through the blue bridges.
GLaDOS_sp_sphere_2nd_encounter_completion01|You really are doing great, Chell.
GLaDOS_sp_sphere_2nd_encounter_entry01|I shouldn't spoil this, but remember how I'm going to live forever, but you're going to be dead in 60 years? Well, I've been working on a present for you. Well, I guess it's more of a medical procedure. Well, technically it's more of a medical experiment. You know how excruciating it is when someone removes all of your bone marrow? Well, what if after I did that, I put something back in that added four years to your life?
GLaDOS_sp_sphere_2nd_encounter_entrytwo01|I went and spoke with the door mainframe. Let's just say he won't be, well, living anymore. Anyway, back to testing.
GLaDOS_sp_sphere_2nd_encounter_malfunction01|Oh. Another door malfunction. I'm going to take care of this once and for all. Stay here. I'll be back in a while.
GLaDOS_sp_sphere_2nd_encounter_malfunction02|Miss you.
GLaDOS_sp_trust_fling_entry01|Well, have fun soaring through the air without a care in the world.
GLaDOS_sp_trust_fling_entry02|I have to go to the wing that was made entirely of glass and pick up 15 acres of broken glass, by myself.
GLaDOS_sp_trust_fling_sphereinterrupt01|Perfect. The door's malfunctioning. I guess somebody's going to have to repair that, too. No, don't get up. I'll be right back. Don't touch anything.
GLaDOS_sp_trust_fling_sphereinterrupt03|Never mind, I have to go check something, test on your own recognizance, I'll be back.
GLaDOS_sp_turret_intro_entry01|I wouldn't have warned you about this before, back when we hated each other, but those turrets are firing real bullets, so look out. I'd hate for something tragic to happen to you before I extract all your bone marrow.
GLaDOS_sp_turret_islands01|I'm going to be honest with you now, not fake honest like before, but real honest, like you're incapable of. I know you're up to something.
GLaDOS_sp_turret_islands02|And as soon as I can prove it, the laws of robotics allow me to terminate you for being a liar.
GLaDOS_taunt_small_wave04|Stop with the waves
GLaDOS_taunt_splits01|Alright. I'm officially no longer paying attention to you.
GLaDOS_testchambermisc02|Did you know, I discovered a way to eradicate poverty, but then you killed me, so that's gone.
GLaDOS_testchambermisc12|Waddle over to the elevator and we'll continue the testing.
GLaDOS_testchambermisc15|Anything? Take your time.
GLaDOS_testchambermisc16|Okay, fine. I'll ask you again in a few decades.
GLaDOS_testchambermisc19|Well done. In fact, you did so well, I'm going to note this on your file, in the Commendation section. Oh, there's lots of room here. Did well. Enough.
GLaDOS_testchambermisc27|Well, you passed the test. I didn't see the deer today. I did see some humans, but with you here I've got more test subjects than I'll ever need.
GLaDOS_testchambermisc30|I'm going through the list of test subjects in cryogenic storage. I managed to find two with your last name. A man and a woman. So that's interesting. It's a small world.
GLaDOS_testchambermisc31|I have a surprise waiting for you after this next test. Telling you would spoil the surprise. So I'll just give you a hint. It involves meeting two people you haven't seen in a long time.
GLaDOS_testchambermisc33|I bet you think I forgot about your surprise. I didn't. In fact, we're headed to your surprise right now. After all these years, I'm getting choked up just thinking about it.
GLaDOS_testchambermisc34|initiating surprise, in 3, 2, 1
GLaDOS_testchambermisc41|Surprise!
